from,to,type,weight
257912371,7403862,tw,1.0
7833122,14562685,tw,1.0
7833122,14831475,tw,1.0
66998204,25820473,tw,1.0
1091325763943612416,14290699,tw,1.0
3131243261,14562685,tw,1.0
151395064,7403862,tw,1.0
2975134426,14562685,tw,1.0
417856150,32835701,tw,1.0
4876080779,14290699,tw,1.0
19626301,7403862,tw,1.0
4338452835,14562685,tw,1.0
513498057,3068789388,tw,1.0
83567424,67710876,tw,1.0
555031989,14562685,tw,1.0
15096261,13779282,tw,1.0
15096261,1337150378,tw,1.0
15096261,4155531,tw,1.0
15096261,7403862,tw,1.0
16143105,279220669,tw,1.0
16143105,1358617603590086657,tw,1.0
16143105,563123174,tw,1.0
16143105,1443780630,tw,1.0
2711212681,14562685,tw,1.0
2711212681,7389732,tw,1.0
3429955204,14562685,tw,1.0
3429955204,76347918,tw,1.0
22756947,14562685,tw,1.0
839338759330152453,14562685,tw,1.0
839338759330152453,4334071758,tw,1.0
846014785246367745,14562685,tw,1.0
1014861853338398720,14562685,tw,1.0
705539763349164032,14562685,tw,1.0
325029776,7403862,tw,1.0
3251759104,7403862,tw,1.0
119160803,7403862,tw,1.0
875122621,14562685,tw,1.0
875122621,7389732,tw,1.0
513498057,1181539812739866624,sim,0.7685969586926923
19021197,14813,sim,0.4370355007182922
19021197,943967482619895808,sim,0.4176756416429706
19021197,14727078,sim,0.4659468339358902
19021197,81097544,sim,0.5005538366305179
19021197,15096261,sim,0.439333991659507
19021197,2982660196,sim,0.4703458026112961
19021197,1158382346309197826,sim,0.477490785182294
19021197,114463650,sim,0.33978818993240134
19021197,775280798891114496,sim,0.4386527640313213
19021197,293245682,sim,0.4874564082800755
19021197,105845892,sim,0.37876640131825384
19021197,159190687,sim,0.37574821862497254
19021197,1278692356980703233,sim,0.46289551988543903
19021197,413271829,sim,0.443495345860367
19021197,14138796,sim,0.35192427170480606
22756947,507356334,sim,0.4118595246344295
218144880,19305645,sim,0.41665035631691183
325029776,1266731634,sim,0.612981324902046
242488617,14813,sim,0.42564277324915245
242488617,943967482619895808,sim,0.3368982953880593
242488617,14727078,sim,0.47465150593710503
242488617,81097544,sim,0.3813105158292453
242488617,15096261,sim,0.4101302990553412
242488617,2982660196,sim,0.4407868984756626
242488617,151395064,sim,0.3418052539492206
242488617,1158382346309197826,sim,0.37100018550013913
242488617,775280798891114496,sim,0.35753744473096594
242488617,293245682,sim,0.39697330137117914
242488617,105845892,sim,0.33235531836147325
242488617,1278692356980703233,sim,0.4214567604430182
242488617,413271829,sim,0.3314641094287857
242488617,14138796,sim,0.3589404063261013
1316802123644850176,2293370286,sim,0.35007832998566546
1316802123644850176,720474368,sim,0.474332355301605
1316802123644850176,81097544,sim,0.3284056950390753
1316802123644850176,20180686,sim,0.8068477295429056
1316802123644850176,105845892,sim,0.43837918939672565
620214322,1321078181072379907,sim,0.4272816618949027
620214322,152030226,sim,0.4301476352172099
1014861853338398720,2711212681,sim,0.42399425348988207
1014861853338398720,2975134426,sim,0.41640364239174055
1014861853338398720,3131243261,sim,0.36238929440373585
1014861853338398720,839338759330152453,sim,0.3921655029891624
1014861853338398720,705539763349164032,sim,0.34408395528948776
1014861853338398720,875122621,sim,0.4433853806629709
837772065285419008,17899109,sim,0.5935204306998036
24531209,14813,sim,0.3718188150651904
24531209,943967482619895808,sim,0.35008718256403937
24531209,14727078,sim,0.38816939908911213
24531209,81097544,sim,0.39589756342885407
24531209,15096261,sim,0.37076360168960276
24531209,2982660196,sim,0.401840777971981
24531209,1158382346309197826,sim,0.3682316871381992
24531209,114463650,sim,0.3468966849301779
24531209,775280798891114496,sim,0.3829018112729637
24531209,293245682,sim,0.39344530855829335
24531209,105845892,sim,0.34536451437570365
24531209,1278692356980703233,sim,0.38111269859767055
24531209,14138796,sim,0.3332558553941296
14813,2293370286,sim,0.40175303186009614
14813,4121263167,sim,0.4451859565957616
14813,943967482619895808,sim,0.7642781298093442
14813,14727078,sim,0.8687830998478587
14813,926288949798211590,sim,0.35188691095184615
14813,420609926,sim,0.4271543449225384
14813,1246407354905739265,sim,0.4924608306923476
14813,81097544,sim,0.8383491801561911
14813,15096261,sim,0.8274103984120712
14813,2160485952,sim,0.45315736281133984
14813,2982660196,sim,0.8685497779315321
14813,1158382346309197826,sim,0.8160882391178349
14813,114463650,sim,0.6333471813517733
14813,775280798891114496,sim,0.802022871400279
14813,4436094861,sim,0.4209154852872959
14813,293245682,sim,0.839216118725605
14813,1469421637,sim,0.4591099014387918
14813,534255106,sim,0.39451261792086023
14813,105845892,sim,0.7106207816924637
14813,14321293,sim,0.5190133946139609
14813,159190687,sim,0.6832113366678181
14813,15376357,sim,0.5472340295855308
14813,725622293402124289,sim,0.4490883787186136
14813,1278692356980703233,sim,0.8192463418605536
14813,413271829,sim,0.682074147859199
14813,11333892,sim,0.3575020638769223
14813,632036332,sim,0.4718370269158818
14813,14138796,sim,0.7152238961029194
14224719,1168968080690749441,sim,0.39396421882112603
14564172,41765653,sim,0.6017501267123124
730354615716175872,969173723457695744,sim,0.5735349609495741
730354615716175872,520860243,sim,0.9346663468535212
730354615716175872,252618624,sim,0.9075363278246951
14056108,178798604,sim,0.9323520064036381
14056108,872260459,sim,0.45794666705790577
14056108,149120416,sim,0.5885004916541916
14056108,455851774,sim,0.5119089473272032
14056108,14465315,sim,0.6744191765774616
4876080779,1091325763943612416,sim,0.33295649137618244
4876080779,1088089771631669248,sim,0.3720446693716678
4876080779,27629414,sim,0.3450483423777826
119675804,872260459,sim,0.32341098403086965
2293370286,943967482619895808,sim,0.40541711818508736
2293370286,14727078,sim,0.4399305541378083
2293370286,81097544,sim,0.48249387978246333
2293370286,15096261,sim,0.3908601876339838
2293370286,2982660196,sim,0.46603418183089196
2293370286,1158382346309197826,sim,0.41645734621421066
2293370286,114463650,sim,0.33695811909876827
2293370286,775280798891114496,sim,0.42577857491990606
