from,to
5878332,242488617
5878332,121413335
5878332,1009753502
5878332,39713727
5878332,15056816
5878332,17053097
5878332,622376253
5878332,3042445625
5878332,14727078
5878332,15629195
5878332,12177772
5878332,14360501
5878332,773498743
5878332,3251759104
5878332,19700634
5878332,2826505214
5878332,369038524
5878332,50316564
5878332,154561844
5878332,502251829
5878332,317144532
242488617,15841875
242488617,118012929
242488617,121413335
242488617,1009753502
242488617,1060653216
242488617,3241740251
242488617,15056816
242488617,17053097
242488617,917663680220852224
242488617,4043080882
242488617,3042445625
242488617,23788480
242488617,1848037524
242488617,20519922
242488617,761638264218542084
242488617,317753244
242488617,14727078
242488617,997903964753494017
242488617,12177772
242488617,1301361228
242488617,716371218
242488617,111041991
242488617,37895085
242488617,2886122134
242488617,14360501
242488617,1281419371
242488617,773498743
242488617,1119741
242488617,2160485952
242488617,2164756843
242488617,19528058
242488617,2466453506
242488617,2982660196
242488617,151395064
242488617,55523059
242488617,14095937
242488617,19639850
242488617,51696620
242488617,181606808
242488617,16002997
242488617,396536542
242488617,14854533
242488617,14164249
242488617,14889353
242488617,146428363
242488617,13486
242488617,14489531
242488617,21020637
242488617,18725978
242488617,15155750
242488617,2769925698
242488617,2826505214
242488617,50316564
242488617,534255106
242488617,21283221
242488617,183010626
242488617,14600243
242488617,322777832
242488617,14636531
242488617,724647542
242488617,16099079
242488617,7268972
242488617,14465315
242488617,317144532
242488617,11936322
242488617,18897186
121413335,29753422
121413335,458769174
121413335,364511203
121413335,1009753502
121413335,15056816
121413335,249115261
121413335,2748559878
121413335,138352046
121413335,246262362
121413335,622376253
121413335,386666521
121413335,3042445625
121413335,20309837
121413335,41389093
121413335,969173723457695744
121413335,743768472
121413335,75496529
121413335,988518714
121413335,14727078
121413335,15629195
121413335,22239898
121413335,24674765
121413335,1021692544026066944
121413335,793517
121413335,23256153
121413335,111041991
121413335,28144707
121413335,16036960
121413335,773498743
121413335,763505764686295043
121413335,2982660196
121413335,6418372
121413335,924974027118084096
121413335,3251759104
121413335,321575853
121413335,722242009
121413335,2570652956
121413335,2826505214
121413335,61542667
121413335,156121420
121413335,154561844
121413335,66682073
121413335,502251829
121413335,1175221
121413335,2499398326
121413335,252618624
121413335,317144532
121413335,34956929
121413335,25734012
121413335,33569853
1009753502,137644297
1009753502,15841875
1009753502,118012929
1009753502,1060653216
1009753502,3241740251
1009753502,450504930
1009753502,15056816
1009753502,17053097
1009753502,5439642
1009753502,917663680220852224
1009753502,2388894925
1009753502,3042445625
1009753502,3110800479
1009753502,1927147742
1009753502,23788480
1009753502,20519922
1009753502,761638264218542084
1009753502,317753244
1009753502,14727078
1009753502,388752038
1009753502,997903964753494017
1009753502,2199880058
1009753502,12177772
1009753502,1301361228
1009753502,716371218
1009753502,111041991
1009753502,37895085
1009753502,2886122134
1009753502,14360501
1009753502,268349503
1009753502,773498743
1009753502,16558108
1009753502,1119741
1009753502,2160485952
1009753502,361971467
1009753502,763505764686295043
1009753502,14314709
1009753502,21658656
1009753502,2466453506
1009753502,951518598
1009753502,2982660196
1009753502,151395064
1009753502,55523059
1009753502,14095937
1009753502,2408406843
1009753502,19639850
1009753502,51696620
1009753502,181606808
1009753502,16002997
1009753502,396536542
1009753502,14854533
1009753502,14164249
1009753502,824366518515499008
1009753502,146428363
1009753502,13486
1009753502,14489531
1009753502,21020637
1009753502,14091176
1009753502,18725978
1009753502,19700634
1009753502,24689052
1009753502,2826505214
1009753502,50316564
1009753502,534255106
1009753502,183010626
1009753502,14600243
1009753502,322777832
1009753502,274085930
1009753502,16294244
1009753502,724647542
1009753502,16099079
1009753502,19962797
1009753502,857620964124884993
1009753502,12223492
1009753502,7268972
1009753502,14465315
1009753502,16193219
1009753502,25734012
1009753502,14054507
1009753502,11936322
1009753502,1006166382
1009753502,18897186
1009753502,525495167
39713727,17053097
39713727,622376253
39713727,20519922
39713727,12029252
39713727,2199880058
39713727,12177772
39713727,12223492
39713727,7526892
15056816,137644297
15056816,2398458066
15056816,15841875
15056816,370222916
15056816,1060653216
15056816,450504930
15056816,550049897
15056816,833995710802587648
15056816,17053097
15056816,5439642
15056816,2388894925
15056816,3042445625
15056816,3110800479
15056816,3956620576
15056816,23788480
15056816,54181373
15056816,20519922
15056816,317753244
15056816,449722285
15056816,39959109
15056816,14727078
15056816,388752038
15056816,22239898
15056816,3091263364
15056816,737554362
15056816,2199880058
15056816,12177772
15056816,716371218
15056816,37895085
15056816,14360501
15056816,268349503
15056816,116220384
15056816,773498743
15056816,16558108
15056816,361971467
15056816,16272222
15056816,763505764686295043
15056816,19528058
15056816,951518598
15056816,2982660196
15056816,151395064
15056816,360155897
15056816,14095937
15056816,19639850
15056816,181606808
15056816,114463650
15056816,463447125
15056816,14854533
15056816,14164249
15056816,824366518515499008
15056816,146428363
15056816,13486
15056816,16085801
15056816,14489531
15056816,14091176
15056816,19700634
15056816,24689052
15056816,2826505214
15056816,50316564
15056816,534255106
15056816,183010626
15056816,14600243
15056816,322777832
15056816,274085930
15056816,14636531
15056816,857620964124884993
15056816,14465315
15056816,16193219
15056816,25734012
15056816,11936322
15056816,468312068
15056816,18897186
15056816,525495167
17053097,15841875
17053097,118012929
17053097,5664472
17053097,917663680220852224
17053097,784609
17053097,20519922
17053097,12029252
17053097,14727078
17053097,12177772
17053097,2886122134
17053097,14360501
17053097,2466453506
17053097,1246421
17053097,55523059
17053097,396536542
17053097,14164249
17053097,13486
17053097,21020637
17053097,14091176
17053097,183010626
17053097,14600243
17053097,12223492
17053097,7268972
17053097,14054507
17053097,7526892
17053097,18897186
622376253,364511203
622376253,246262362
622376253,2795941059
622376253,41389093
622376253,743768472
622376253,14294455
622376253,76982240
622376253,793517
622376253,16143105
622376253,321575853
622376253,56696814
622376253,502251829
3042445625,29753422
3042445625,848258875
3042445625,301666382
3042445625,364511203
3042445625,370222916
3042445625,2871402869
3042445625,249115261
3042445625,1232383705
3042445625,833995710802587648
3042445625,2388894925
3042445625,246262362
3042445625,2795941059
3042445625,743768472
3042445625,317753244
3042445625,988518714
3042445625,449722285
3042445625,3063915417
3042445625,14727078
3042445625,2488774495
3042445625,76982240
3042445625,15629195
3042445625,978282954
3042445625,3091263364
3042445625,24674765
3042445625,2199880058
3042445625,111041991
3042445625,3314637593
3042445625,14360501
3042445625,28144707
3042445625,16036960
3042445625,370389714
3042445625,773498743
3042445625,2164756843
3042445625,1960908852
3042445625,2982660196
3042445625,151395064
3042445625,1543345928
3042445625,181606808
3042445625,900016094433431554
3042445625,463447125
3042445625,824366518515499008
3042445625,16143105
3042445625,3251759104
3042445625,3638422932
3042445625,1096083931
3042445625,210876287
3042445625,321575853
3042445625,2826505214
3042445625,369038524
3042445625,293245682
3042445625,1469421637
3042445625,50316564
3042445625,534255106
3042445625,56696814
3042445625,154561844
3042445625,274085930
3042445625,502251829
3042445625,1278692356980703233
3042445625,317144532
3042445625,25734012
3042445625,863603622
14727078,15841875
14727078,14813
14727078,1060653216
14727078,450504930
14727078,5439642
14727078,2388894925
14727078,3956620576
14727078,969173723457695744
14727078,15438912
14727078,1848037524
14727078,20519922
14727078,317753244
14727078,449722285
14727078,3091263364
14727078,2199880058
14727078,12177772
14727078,716371218
14727078,111041991
14727078,37895085
14727078,14360501
14727078,116220384
14727078,773498743
14727078,16558108
14727078,2160485952
14727078,361971467
14727078,2164756843
14727078,16272222
14727078,19528058
14727078,2982660196
14727078,151395064
14727078,14095937
14727078,19639850
14727078,181606808
14727078,114463650
14727078,14854533
14727078,14164249
14727078,824366518515499008
14727078,146428363
14727078,13486
14727078,14489531
14727078,14091176
14727078,19700634
14727078,2826505214
14727078,1469421637
14727078,50316564
14727078,534255106
14727078,183010626
14727078,14600243
14727078,322777832
14727078,274085930
14727078,2843640335
14727078,1278692356980703233
14727078,413271829
14727078,14465315
14727078,14054507
14727078,468312068
14727078,525495167
15629195,364511203
15629195,252268498
15629195,988518714
15629195,300868563
15629195,773498743
15629195,255123777
15629195,3251759104
15629195,321575853
15629195,2826505214
15629195,369038524
15629195,154561844
15629195,502251829
15629195,20668629
15629195,317144532
15629195,863603622
12177772,15841875
12177772,118012929
12177772,1060653216
12177772,5439642
12177772,917663680220852224
12177772,3110800479
12177772,20519922
12177772,37895085
12177772,2886122134
12177772,14360501
12177772,268349503
12177772,16558108
12177772,361971467
12177772,2466453506
12177772,55523059
12177772,181606808
12177772,396536542
12177772,14164249
12177772,146428363
12177772,13486
12177772,21020637
12177772,14091176
12177772,18725978
12177772,24689052
12177772,183010626
12177772,14600243
12177772,322777832
12177772,16099079
12177772,7268972
12177772,14054507
12177772,11936322
12177772,18897186
14360501,3361219137
14360501,15841875
14360501,118012929
14360501,2385068665
14360501,1060653216
14360501,450504930
14360501,91962781
14360501,2388894925
14360501,17405435
14360501,1927147742
14360501,3956620576
14360501,15438912
14360501,23788480
14360501,20519922
14360501,761638264218542084
14360501,317753244
14360501,3091263364
14360501,997903964753494017
14360501,2199880058
14360501,1301361228
14360501,3159413824
14360501,716371218
14360501,111041991
14360501,37895085
14360501,2886122134
14360501,268349503
14360501,16868870
14360501,116220384
14360501,773498743
14360501,16558108
14360501,1119741
14360501,2160485952
14360501,361971467
14360501,255166755
14360501,2466453506
14360501,2982660196
14360501,151395064
14360501,2834884245
14360501,14095937
14360501,19639850
14360501,51696620
14360501,181606808
14360501,396536542
14360501,14854533
14360501,14164249
14360501,824366518515499008
14360501,146428363
14360501,13486
14360501,14489531
14360501,14091176
14360501,18725978
