from,to,group,arrows,smooth
5878332,13500732,Aid Transparency,to,1
121413335,7403862,Aid Transparency,to,1
622376253,5825162,Aid Transparency,to,1
622376253,1443780630,Aid Transparency,to,1
622376253,13500732,Aid Transparency,to,1
15629195,77004828,Aid Transparency,to,1
15629195,7403862,Aid Transparency,to,1
15629195,158680425,Aid Transparency,to,1
15629195,13500732,Aid Transparency,to,1
15629195,17152983,Aid Transparency,to,1
15629195,4155531,Aid Transparency,to,1
3251759104,7403862,Aid Transparency,to,1
369038524,7403862,Aid Transparency,to,1
369038524,4155531,Aid Transparency,to,1
154561844,77004828,Aid Transparency,to,1
154561844,612254136,Aid Transparency,to,1
154561844,7403862,Aid Transparency,to,1
502251829,2852616068,Aid Transparency,to,1
502251829,4155531,Aid Transparency,to,1
502251829,13500732,Aid Transparency,to,1
317144532,158680425,Aid Transparency,to,1
317144532,13500732,Aid Transparency,to,1
317144532,4155531,Aid Transparency,to,1
317144532,1443780630,Aid Transparency,to,1
2871402869,44824178,Aid Transparency,to,1
2871402869,13500732,Aid Transparency,to,1
2871402869,1443780630,Aid Transparency,to,1
268622182,7403862,Aid Transparency,to,1
15521401,1337150378,Aid Transparency,to,1
15521401,7403862,Aid Transparency,to,1
15521401,4155531,Aid Transparency,to,1
71559612,7403862,Aid Transparency,to,1
71559612,19129884,Aid Transparency,to,1
321575853,4881711,Aid Transparency,to,1
863603622,158680425,Aid Transparency,to,1
863603622,1443780630,Aid Transparency,to,1
863603622,13500732,Aid Transparency,to,1
92939251,13500732,Aid Transparency,to,1
111041991,13500732,Aid Transparency,to,1
111041991,285297111,Aid Transparency,to,1
111041991,38379127,Aid Transparency,to,1
301666382,1443780630,Aid Transparency,to,1
301666382,7403862,Aid Transparency,to,1
301666382,13500732,Aid Transparency,to,1
743768472,7403862,Aid Transparency,to,1
743768472,612254136,Aid Transparency,to,1
832607371214123008,4750027888,Aid Transparency,to,1
832607371214123008,206531402,Aid Transparency,to,1
3063915417,5825162,Aid Transparency,to,1
3063915417,206531402,Aid Transparency,to,1
456665124,206531402,Aid Transparency,to,1
107722135,13500732,Aid Transparency,to,1
107722135,1443780630,Aid Transparency,to,1
1232383705,1142057512079781888,Aid Transparency,to,1
1232383705,1443780630,Aid Transparency,to,1
601848129,1443780630,Aid Transparency,to,1
502205330,1443780630,Aid Transparency,to,1
1641726098,1443780630,Aid Transparency,to,1
451448044,7403862,Aid Transparency,to,1
451448044,1443780630,Aid Transparency,to,1
