Screen Name,value,group
oktaiwanonline,24,Aid Transparency
scheeinfo,23,Aid Transparency
audreyt,19,Aid Transparency
clkao,9,Aid Transparency
eikologyy,8,Aid Transparency
go_vegetables,7,Aid Transparency
shuyanglin,5,Aid Transparency
TTCATz,4,Aid Transparency
g0vtw,3,Aid Transparency
JeromeTaylor,3,Aid Transparency
creery_j,2,Aid Transparency
Stiivi,2,Aid Transparency
JhihCyuan,2,Aid Transparency
WikimediaTW,2,Aid Transparency
dspim,2,Aid Transparency
samboocha,2,Aid Transparency
TaipeiIO,2,Aid Transparency
transpen,2,Aid Transparency
mclee1168,2,Aid Transparency
fiobourgeois,2,Aid Transparency
TIChineseTaipei,2,Aid Transparency
cpyang,2,Aid Transparency
dongpo,2,Aid Transparency
michalthim,2,Aid Transparency
yinchuchen,2,Aid Transparency
paulmozur,2,Aid Transparency
trc4identica,2,Aid Transparency
LauraMannering,2,Aid Transparency
SinicaFans,1,Aid Transparency
gaintai,1,Aid Transparency
GenevaZone,1,Aid Transparency
chsiao,1,Aid Transparency
taipei_times,1,Aid Transparency
NATSA94,1,Aid Transparency
grzegorzewskif,1,Aid Transparency
taef_tw,1,Aid Transparency
Yachi_Chiang,1,Aid Transparency
KuoShin_Dance,1,Aid Transparency
lawyerofpirates,1,Aid Transparency
MinaChiang,1,Aid Transparency
Viki,1,Aid Transparency
DDDchat,1,Aid Transparency
jonlsullivan,1,Aid Transparency
PeihuaYu,1,Aid Transparency
TaiwanCorner,1,Aid Transparency
decomposer17179,1,Aid Transparency
openupsummit,1,Aid Transparency
WomensRightsTW,1,Aid Transparency
ehundman,1,Aid Transparency
RatihKabinawa,1,Aid Transparency
MydataTaiwan,1,Aid Transparency
ntu_sociology,1,Aid Transparency
7Pdxts8VbssLV83,1,Aid Transparency
CleanTaiwan,1,Aid Transparency
Julienne_Chen,1,Aid Transparency
RandallNadeau,1,Aid Transparency
b3ssle,1,Aid Transparency
teiatw,1,Aid Transparency
ihptaiwan,1,Aid Transparency
obasang_430,1,Aid Transparency
2Taichung,1,Aid Transparency
jojjeols,1,Aid Transparency
DataEconomyTW,1,Aid Transparency
tahr1984,1,Aid Transparency
Camyale,1,Aid Transparency
nthuang,1,Aid Transparency
shampooliao,1,Aid Transparency
meichih,1,Aid Transparency
earthquake_tw,1,Aid Transparency
Frontiertw,1,Aid Transparency
pybaubry,1,Aid Transparency
heguisen,1,Aid Transparency
OuzhouAdi,1,Aid Transparency
orsonwang,1,Aid Transparency
reclaimdream,1,Aid Transparency
heldavidson,1,Aid Transparency
friendshipcit,1,Aid Transparency
Silmaris,1,Aid Transparency
TaiwanCinefest,1,Aid Transparency
TaiwaneseAm_org,1,Aid Transparency
AMFChina,1,Aid Transparency
erinhale,1,Aid Transparency
MataTaiwan,1,Aid Transparency
venuschentaipei,1,Aid Transparency
ShutiChiou,1,Aid Transparency
TaiwanChannel,1,Aid Transparency
MilesHsuTW,1,Aid Transparency
yiping711,1,Aid Transparency
e_info,1,Aid Transparency
spectatordo,1,Aid Transparency
Taiwan_Agent,1,Aid Transparency
wuerkaixi,1,Aid Transparency
ssoleil20,1,Aid Transparency
PavelOak,1,Aid Transparency
TingChunKuo,1,Aid Transparency
TaiwanFCC,1,Aid Transparency
FormosaSalon_tw,1,Aid Transparency
beconomist,1,Aid Transparency
guywittich,1,Aid Transparency
NTIO_Taiwan,1,Aid Transparency
thefeast,1,Aid Transparency
juliaskuo,1,Aid Transparency
yhuiChang,1,Aid Transparency
Battle_Fish_TW,1,Aid Transparency
ithomeonline,1,Aid Transparency
mike_mazza,1,Aid Transparency
s8321414,1,Aid Transparency
oceansays_info,1,Aid Transparency
TAITRAChicago,1,Aid Transparency
TWturtletony,1,Aid Transparency
kerim,1,Aid Transparency
taiwanappg,1,Aid Transparency
Chinghehuang,1,Aid Transparency
NTMuseum1908,1,Aid Transparency
mtdtl,1,Aid Transparency
YstaiwanOrg,1,Aid Transparency
