Screen Name,value,group
oktaiwanonline,133,Aid Transparency
CivicSightAsia,25,Aid Transparency
OKFN,9,Aid Transparency
ddie,6,Aid Transparency
ODLabJkt,4,Aid Transparency
Morchickit,4,Aid Transparency
OKFNLabs,4,Aid Transparency
Anna_D_Scott,3,Aid Transparency
participatory,3,Aid Transparency
andrew_c_clarke,3,Aid Transparency
DonRudi,3,Aid Transparency
vavoida,3,Aid Transparency
anticorruption,3,Aid Transparency
opendatacon,3,Aid Transparency
opennorth,3,Aid Transparency
opencontracting,3,Aid Transparency
OpenGovHub,3,Aid Transparency
Lebowskiana,3,Aid Transparency
od4_d,3,Aid Transparency
rufuspollock,2,Aid Transparency
okfn_np,2,Aid Transparency
parr2_parr,2,Aid Transparency
webfoundation,2,Aid Transparency
JeanneHolm,2,Aid Transparency
JoelGurin,2,Aid Transparency
okfde,2,Aid Transparency
godanSec,2,Aid Transparency
Data4SDGs,2,Aid Transparency
anabmap,2,Aid Transparency
GlobalIntegrity,2,Aid Transparency
ferdeline,2,Aid Transparency
CarlaBonina,2,Aid Transparency
TheGovLab,2,Aid Transparency
CGIAR_Data,2,Aid Transparency
okfnitaly,2,Aid Transparency
AlbrightKerry,2,Aid Transparency
martintisne,1,Aid Transparency
benschp,1,Aid Transparency
bethnoveck,1,Aid Transparency
OKFNau,1,Aid Transparency
FAO,1,Aid Transparency
internetsociety,1,Aid Transparency
LizCarolan,1,Aid Transparency
Transparency_ie,1,Aid Transparency
dclfbk,1,Aid Transparency
_karin_c,1,Aid Transparency
OpenDataWatch,1,Aid Transparency
TomOrrell86,1,Aid Transparency
florserale,1,Aid Transparency
IDS_UK,1,Aid Transparency
ForeignAsst_gov,1,Aid Transparency
jayneuner,1,Aid Transparency
opengovpart,1,Aid Transparency
opendatacharter,1,Aid Transparency
socrata,1,Aid Transparency
GFARforum,1,Aid Transparency
okfngr,1,Aid Transparency
AidData,1,Aid Transparency
ODRnetwork,1,Aid Transparency
CABI_News,1,Aid Transparency
timdavies,1,Aid Transparency
okfn_spain,1,Aid Transparency
OmidyarNetwork,1,Aid Transparency
pzwsk,1,Aid Transparency
UNHumanRights,1,Aid Transparency
SDG2AdvocacyHub,1,Aid Transparency
steiny,1,Aid Transparency
eudata,1,Aid Transparency
GavinHayman_GW,1,Aid Transparency
janiswong_,9,Data Ethics
ruchowdh,5,Data Ethics
ImmyKaur,4,Data Ethics
CIVIC_SQUARE,3,Data Ethics
AlexMartin,3,Data Ethics
herahussain,3,Data Ethics
bsnaith_,2,Data Ethics
beatricemartini,2,Data Ethics
rossjanderson,1,Data Ethics
emjarr,1,Data Ethics
TechMilly,1,Data Ethics
DSI4EU,1,Data Ethics
CassieRobinson,1,Data Ethics
andyreevo,1,Data Ethics
linnetelwin,1,Data Ethics
JoannaChoukeir,1,Data Ethics
carlykind_,1,Data Ethics
GilesHerdale,1,Data Ethics
renatesamson,1,Data Ethics
EinsteinsAttic,1,Data Ethics
TEDxBrum,1,Data Ethics
ellenbroad,1,Data Ethics
projectsbyif,1,Data Ethics
NoraNiLoideain,1,Data Ethics
Uscreates,1,Data Ethics
Reema__Patel,1,Data Ethics
natalie_banner,1,Data Ethics
hks_digital,1,Data Ethics
DirDigEng,9,Digit Government Transformation
clry2,5,Digit Government Transformation
danbri,4,Digit Government Transformation
MeAndVan,4,Digit Government Transformation
DigiLeaders,4,Digit Government Transformation
dominiccampbell,4,Digit Government Transformation
emercoleman,3,Digit Government Transformation
catdrew_,3,Digit Government Transformation
DavidBuckster,3,Digit Government Transformation
SpendNetwork,3,Digit Government Transformation
shevski,3,Digit Government Transformation
helenolsen,3,Digit Government Transformation
UKAuthority,3,Digit Government Transformation
charlottejee,3,Digit Government Transformation
PUBLIC_Team,3,Digit Government Transformation
torgo,2,Digit Government Transformation
nickmhalliday,2,Digit Government Transformation
JeniT,2,Digit Government Transformation
timpaul,2,Digit Government Transformation
hadleybeeman,2,Digit Government Transformation
JanetHughes,2,Digit Government Transformation
ekoner,2,Digit Government Transformation
techforevil,2,Digit Government Transformation
kyliehavelock,2,Digit Government Transformation
laurence_berry,2,Digit Government Transformation
avfletcher,2,Digit Government Transformation
GovTechResearch,2,Digit Government Transformation
maltbyps,1,Digit Government Transformation
EddieACopeland,1,Digit Government Transformation
Ellayanor,1,Digit Government Transformation
LOTI_LDN,1,Digit Government Transformation
jaCattell,1,Digit Government Transformation
mrchrisadams,1,Digit Government Transformation
johnlsheridan,1,Digit Government Transformation
psd,1,Digit Government Transformation
jdforrester,1,Digit Government Transformation
tomskitomski,1,Digit Government Transformation
blangry,1,Digit Government Transformation
stu73,1,Digit Government Transformation
mikejthompson,1,Digit Government Transformation
Rchards,1,Digit Government Transformation
mySociety,1,Digit Government Transformation
Derek_duPreez,1,Digit Government Transformation
stamanfar,1,Digit Government Transformation
MTBracken,1,Digit Government Transformation
benunsworth,1,Digit Government Transformation
gkfrancis,1,Digit Government Transformation
edtparkes,1,Digit Government Transformation
robinknowles_,1,Digit Government Transformation
ayymanduh,1,Digit Government Transformation
kitterati,1,Digit Government Transformation
carriebish,1,Digit Government Transformation
HarryTrimble,1,Digit Government Transformation
foodgov,1,Digit Government Transformation
stevenjmesser,1,Digit Government Transformation
tommyh,11,Environment
odiseoul,3,Environment
Opendatasoft,3,Environment
OpenDataAha,2,Environment
DameWendyDBE,2,Environment
pezholio,1,Environment
ODILeeds,1,Environment
ODIHQmembers,1,Environment
PatriceJohnB,1,Environment
ODIDevon,1,Environment
ODcamp,1,Environment
odugUK,1,Environment
sensiblecodeio,1,Environment
psychemedia,1,Environment
OxfordDiplomat,8,Journalism
demsoc,5,Journalism
jonworth,4,Journalism
shivmalik,3,Journalism
matwg,3,Journalism
FCDOGovUK,3,Journalism
paulwaugh,3,Journalism
jamesrbuk,3,Journalism
stianwestlake,2,Journalism
LSEpoliticsblog,2,Journalism
lukewaterfield,2,Journalism
mattwarman,2,Journalism
duncanrobinson,2,Journalism
catherine_mayer,2,Journalism
Emmabarnett,2,Journalism
Marthalanefox,2,Journalism
MrVikas,2,Journalism
oliver_wright,1,Journalism
jamestplunkett,1,Journalism
WeAreBrightBlue,1,Journalism
HetanShah,1,Journalism
ruskin147,1,Journalism
richjm,1,Journalism
rowlsmanthorpe,1,Journalism
rhodri,1,Journalism
CPCatapult,1,Journalism
BBCWomansHour,1,Journalism
GavinFreeguard,1,Journalism
SamCoatesSky,1,Journalism
christopherhope,1,Journalism
LGiU,1,Journalism
CPI_foundation,1,Journalism
FranceintheUK,1,Journalism
CBItweets,1,Journalism
ACS_LocalShops,1,Journalism
charlesarthur,1,Journalism
CILIPinfo,1,Journalism
bengoldacre,1,Journalism
carolecadwalla,1,Journalism
Coneee,1,Journalism
MattSilverPR,1,Journalism
David_Goodhart,1,Journalism
