中心,帳號名稱,次數
1.0,1DavidClarke,3
1.0,YouTube,2
1.0,BrookingsInst,2
1.0,business,2
1.0,YuHelenYu,2
1.0,openuk_uk,1
1.0,sbmeunier,1
1.0,sallyeaves,1
1.0,DrJDrooghaag,1
1.0,antgrasso,1
1.0,Ronald_vanLoon,1
1.0,ipfconline1,1
1.0,ComputerWeekly,1
1.0,Fisher85M,1
1.0,UrsBolt,1
2.0,YouTube,2
2.0,YuHelenYu,2
2.0,sbmeunier,1
2.0,sallyeaves,1
2.0,DrJDrooghaag,1
2.0,antgrasso,1
2.0,Ronald_vanLoon,1
2.0,ipfconline1,1
2.0,ComputerWeekly,1
2.0,Fisher85M,1
2.0,UrsBolt,1
3.0,1DavidClarke,3
3.0,BrookingsInst,2
3.0,business,2
3.0,YuHelenYu,2
3.0,sbmeunier,1
3.0,sallyeaves,1
3.0,DrJDrooghaag,1
3.0,antgrasso,1
3.0,Ronald_vanLoon,1
3.0,ipfconline1,1
3.0,Fisher85M,1
3.0,UrsBolt,1
4.0,YouTube,2
4.0,business,2
4.0,YuHelenYu,2
4.0,openuk_uk,1
4.0,sbmeunier,1
4.0,sallyeaves,1
4.0,DrJDrooghaag,1
4.0,antgrasso,1
4.0,Ronald_vanLoon,1
4.0,theRSAorg,1
4.0,ipfconline1,1
4.0,Fisher85M,1
4.0,UrsBolt,1
5.0,1DavidClarke,3
5.0,YouTube,2
5.0,business,2
5.0,YuHelenYu,2
5.0,sbmeunier,1
5.0,sallyeaves,1
5.0,DrJDrooghaag,1
5.0,DeutscheBank,1
5.0,antgrasso,1
5.0,Ronald_vanLoon,1
5.0,ipfconline1,1
5.0,ComputerWeekly,1
5.0,Fisher85M,1
5.0,UrsBolt,1
6.0,1DavidClarke,3
6.0,YouTube,2
6.0,YuHelenYu,2
6.0,openuk_uk,1
6.0,sbmeunier,1
6.0,sallyeaves,1
6.0,DrJDrooghaag,1
6.0,antgrasso,1
6.0,Ronald_vanLoon,1
6.0,ipfconline1,1
6.0,Fisher85M,1
6.0,UrsBolt,1
6.0,TheIET,1
7.0,1DavidClarke,3
7.0,business,2
7.0,YuHelenYu,2
7.0,smithsonian,1
7.0,TomOrrell86,1
7.0,sbmeunier,1
7.0,sallyeaves,1
7.0,DrJDrooghaag,1
7.0,DeutscheBank,1
7.0,antgrasso,1
7.0,Ronald_vanLoon,1
7.0,ipfconline1,1
7.0,Fisher85M,1
7.0,UrsBolt,1
8.0,1DavidClarke,3
8.0,business,2
8.0,YuHelenYu,2
8.0,sbmeunier,1
8.0,sallyeaves,1
8.0,DrJDrooghaag,1
8.0,DeutscheBank,1
8.0,antgrasso,1
8.0,Ronald_vanLoon,1
8.0,ipfconline1,1
8.0,Fisher85M,1
8.0,UrsBolt,1
9.0,1DavidClarke,3
9.0,YouTube,2
9.0,YuHelenYu,2
9.0,openuk_uk,1
9.0,sbmeunier,1
9.0,sallyeaves,1
9.0,DrJDrooghaag,1
9.0,antgrasso,1
9.0,L12_W,1
9.0,Ronald_vanLoon,1
9.0,ipfconline1,1
9.0,ComputerWeekly,1
9.0,UrsBolt,1
10.0,business,2
10.0,YuHelenYu,2
10.0,sbmeunier,1
10.0,sallyeaves,1
10.0,antgrasso,1
10.0,Ronald_vanLoon,1
10.0,ipfconline1,1
10.0,Fisher85M,1
10.0,UrsBolt,1
11.0,YouTube,2
11.0,YuHelenYu,2
11.0,sallyeaves,1
11.0,antgrasso,1
11.0,Ronald_vanLoon,1
11.0,ipfconline1,1
11.0,UrsBolt,1
12.0,BrookingsInst,2
12.0,YuHelenYu,2
12.0,sarahdrinkwater,1
12.0,sallyeaves,1
12.0,DrJDrooghaag,1
12.0,antgrasso,1
12.0,ipfconline1,1
12.0,TheGovLab,1
