中心,帳號名稱,次數
1.0,rwang0,11
1.0,jenmakesup,1
1.0,tculpan,1
1.0,OuzhouAdi,1
1.0,ly2314,1
1.0,JayArtPainting,1
1.0,syaru,1
1.0,ijasonwu,1
1.0,EngleTV,1
1.0,GoAppier,1
1.0,FULLonbaby,1
2.0,rwang0,9
2.0,jenmakesup,1
2.0,JayArtPainting,1
2.0,ijasonwu,1
2.0,GoAppier,1
3.0,rwang0,10
3.0,tculpan,1
3.0,OuzhouAdi,1
3.0,ly2314,1
3.0,syaru,1
3.0,ijasonwu,1
3.0,EngleTV,1
3.0,FULLonbaby,1
4.0,rwang0,10
4.0,jenmakesup,1
4.0,tculpan,1
4.0,JayArtPainting,1
4.0,ijasonwu,1
4.0,EngleTV,1
4.0,audreyt,1
5.0,rwang0,10
5.0,jenmakesup,1
5.0,tculpan,1
5.0,ly2314,1
5.0,kumaOhsiung,1
5.0,JayArtPainting,1
5.0,ijasonwu,1
5.0,EngleTV,1
5.0,GoAppier,1
5.0,FULLonbaby,1
6.0,rwang0,11
6.0,jenmakesup,1
6.0,ly2314,1
6.0,JayArtPainting,1
6.0,ijasonwu,1
6.0,audreyt,1
6.0,FULLonbaby,1
7.0,rwang0,10
7.0,moriono51,1
7.0,BanGaoRen,1
7.0,tculpan,1
7.0,ly2314,1
7.0,kumaOhsiung,1
7.0,ijasonwu,1
7.0,EngleTV,1
7.0,FULLonbaby,1
8.0,rwang0,10
8.0,tculpan,1
8.0,ly2314,1
8.0,kumaOhsiung,1
8.0,ijasonwu,1
8.0,EngleTV,1
8.0,FULLonbaby,1
9.0,rwang0,10
9.0,jenmakesup,1
9.0,ly2314,1
9.0,KavalanWhisky,1
9.0,JayArtPainting,1
9.0,ijasonwu,1
9.0,GoAppier,1
9.0,FULLonbaby,1
10.0,rwang0,8
10.0,tculpan,1
10.0,ijasonwu,1
10.0,EngleTV,1
11.0,rwang0,6
11.0,jenmakesup,1
11.0,JayArtPainting,1
11.0,ijasonwu,1
12.0,rwang0,5
12.0,audreyt,2
12.0,OuzhouAdi,1
12.0,syaru,1
12.0,ijasonwu,1
12.0,GoAppier,1
13.0,rwang0,7
13.0,ly2314,1
13.0,Chinghehuang,1
13.0,ijasonwu,1
13.0,FULLonbaby,1
14.0,rwang0,6
14.0,jenmakesup,1
14.0,JayArtPainting,1
14.0,ijasonwu,1
15.0,audreyt,1
16.0,rwang0,3
16.0,tculpan,1
16.0,ITRI_Taiwan,1
16.0,EngleTV,1
17.0,rwang0,5
17.0,jenmakesup,1
17.0,oktaiwanonline,1
17.0,WikimediaTW,1
17.0,JayArtPainting,1
17.0,ijasonwu,1
17.0,GoAppier,1
18.0,rwang0,5
18.0,ijasonwu,1
19.0,jenmakesup,1
19.0,rwang0,1
19.0,JayArtPainting,1
19.0,audreyt,1
20.0,rwang0,2
20.0,jenmakesup,1
20.0,JayArtPainting,1
20.0,audreyt,1
21.0,BanGaoRen,1
21.0,g0vtw,1
21.0,gueorgui,1
21.0,audreyt,1
24.0,WomensRightsTW,1
24.0,jenmakesup,1
24.0,JayArtPainting,1
26.0,rwang0,3
26.0,g0vtw,1
26.0,jenmakesup,1
26.0,gueorgui,1
26.0,JayArtPainting,1
26.0,ijasonwu,1
26.0,audreyt,1
27.0,rwang0,2
28.0,audreyt,3
28.0,BanGaoRen,1
28.0,g0vtw,1
28.0,jenmakesup,1
28.0,gueorgui,1
28.0,oktaiwanonline,1
28.0,rwang0,1
28.0,WikimediaTW,1
28.0,JayArtPainting,1
29.0,audreyt,3
29.0,rwang0,2
29.0,ITRI_Taiwan,1
29.0,GoAppier,1
30.0,moriono51,1
30.0,rwang0,1
