from,to,group,arrows,smooth
5878332,13500732,Aid Transparency,to,1
32442190,724017823,Aid Transparency,to,1
156700189,4155531,Aid Transparency,to,1
3251759104,7403862,Aid Transparency,to,1
563942720,4155531,Aid Transparency,to,1
563942720,1443780630,Aid Transparency,to,1
3235832253,1337150378,Aid Transparency,to,1
321575853,4881711,Aid Transparency,to,1
15629195,77004828,Aid Transparency,to,1
15629195,7403862,Aid Transparency,to,1
15629195,158680425,Aid Transparency,to,1
15629195,13500732,Aid Transparency,to,1
15629195,17152983,Aid Transparency,to,1
15629195,4155531,Aid Transparency,to,1
502251829,2852616068,Aid Transparency,to,1
502251829,4155531,Aid Transparency,to,1
502251829,13500732,Aid Transparency,to,1
282827560,7403862,Aid Transparency,to,1
492590266,1443780630,Aid Transparency,to,1
22712651,4155531,Aid Transparency,to,1
22712651,17152983,Aid Transparency,to,1
196131308,98026514,Aid Transparency,to,1
196131308,1443780630,Aid Transparency,to,1
196131308,44824178,Aid Transparency,to,1
196131308,13500732,Aid Transparency,to,1
622376253,5825162,Aid Transparency,to,1
622376253,1443780630,Aid Transparency,to,1
622376253,13500732,Aid Transparency,to,1
41389093,1443780630,Aid Transparency,to,1
41389093,13500732,Aid Transparency,to,1
249670742,7403862,Aid Transparency,to,1
249670742,98026514,Aid Transparency,to,1
1527639686,7403862,Aid Transparency,to,1
1527639686,77004828,Aid Transparency,to,1
1527639686,1443780630,Aid Transparency,to,1
979362314,1443780630,Aid Transparency,to,1
988518714,7403862,Aid Transparency,to,1
121413335,7403862,Aid Transparency,to,1
20379080,155814794,Aid Transparency,to,1
20379080,7403862,Aid Transparency,to,1
20442406,98026514,Aid Transparency,to,1
20442406,14978616,Aid Transparency,to,1
20442406,76347918,Aid Transparency,to,1
20442406,27284203,Aid Transparency,to,1
20442406,4155531,Aid Transparency,to,1
20442406,1337150378,Aid Transparency,to,1
20442406,7403862,Aid Transparency,to,1
20442406,7389732,Aid Transparency,to,1
154561844,77004828,Aid Transparency,to,1
154561844,612254136,Aid Transparency,to,1
154561844,7403862,Aid Transparency,to,1
258842582,7403862,Aid Transparency,to,1
58244743,958169280075374593,Aid Transparency,to,1
58244743,976995099170062338,Aid Transparency,to,1
58244743,128830350,Aid Transparency,to,1
58244743,155814794,Aid Transparency,to,1
1010377351,98026514,Aid Transparency,to,1
1010377351,38379127,Aid Transparency,to,1
199002566,14540457,Aid Transparency,to,1
199002566,14831475,Aid Transparency,to,1
296842582,98026514,Aid Transparency,to,1
296842582,7403862,Aid Transparency,to,1
14193522,3302161923,Aid Transparency,to,1
14193522,17152983,Aid Transparency,to,1
5093,15835313,Aid Transparency,to,1
5093,212755592,Aid Transparency,to,1
5093,7403862,Aid Transparency,to,1
5093,44824178,Aid Transparency,to,1
5093,1443780630,Aid Transparency,to,1
5093,17152983,Aid Transparency,to,1
5093,13500732,Aid Transparency,to,1
5093,4155531,Aid Transparency,to,1
5093,1337150378,Aid Transparency,to,1
910629895,1443780630,Aid Transparency,to,1
910629895,1867378807,Aid Transparency,to,1
910629895,4881711,Aid Transparency,to,1
910629895,4155531,Aid Transparency,to,1
910629895,1337150378,Aid Transparency,to,1
110716277,7403862,Aid Transparency,to,1
110716277,158680425,Aid Transparency,to,1
2401485709,4155531,Aid Transparency,to,1
863052332052996097,1224953820716945408,Aid Transparency,to,1
863052332052996097,155814794,Aid Transparency,to,1
863052332052996097,976995099170062338,Aid Transparency,to,1
863052332052996097,7403862,Aid Transparency,to,1
863052332052996097,612254136,Aid Transparency,to,1
743768472,7403862,Aid Transparency,to,1
743768472,612254136,Aid Transparency,to,1
156121420,7403862,Aid Transparency,to,1
14662055,4155531,Aid Transparency,to,1
16402176,4155531,Aid Transparency,to,1
16402176,7403862,Aid Transparency,to,1
16402176,17152983,Aid Transparency,to,1
317144532,158680425,Aid Transparency,to,1
317144532,13500732,Aid Transparency,to,1
317144532,4155531,Aid Transparency,to,1
317144532,1443780630,Aid Transparency,to,1
26294884,7403862,Aid Transparency,to,1
77962713,1337150378,Aid Transparency,to,1
77962713,784252669695135744,Aid Transparency,to,1
77962713,612254136,Aid Transparency,to,1
77962713,13500732,Aid Transparency,to,1
1216941080,4155531,Aid Transparency,to,1
1893562916,1443780630,Aid Transparency,to,1
1893562916,13500732,Aid Transparency,to,1
1893562916,355697417,Aid Transparency,to,1
117429327,4155531,Aid Transparency,to,1
525495167,13500732,Aid Transparency,to,1
14126033,1203712593887744000,Aid Transparency,to,1
14126033,2559854328,Aid Transparency,to,1
14126033,728280729457557504,Aid Transparency,to,1
14126033,2337992480,Aid Transparency,to,1
14126033,13993182,Aid Transparency,to,1
14126033,976995099170062338,Aid Transparency,to,1
14126033,2527393111,Aid Transparency,to,1
14126033,3379003163,Aid Transparency,to,1
14126033,27590168,Aid Transparency,to,1
14126033,19437606,Aid Transparency,to,1
14126033,155814794,Aid Transparency,to,1
14126033,77004828,Aid Transparency,to,1
14126033,7403862,Aid Transparency,to,1
85176546,355697417,Aid Transparency,to,1
505996580,3302161923,South America Issue,to,1
284724697,7403862,South America Issue,to,1
1526345940,1443780630,South America Issue,to,1
1332708642,4155531,South America Issue,to,1
3304091398,1224910336643325954,South America Issue,to,1
15521401,1337150378,South America Issue,to,1
15521401,7403862,South America Issue,to,1
15521401,4155531,South America Issue,to,1
437855517,7403862,South America Issue,to,1
437855517,612254136,South America Issue,to,1
437855517,1295799912,South America Issue,to,1
216335805,98026514,South America Issue,to,1
216335805,7403862,South America Issue,to,1
216335805,1443780630,South America Issue,to,1
216335805,4155531,South America Issue,to,1
18009461,7403862,South America Issue,to,1
18009461,13500732,South America Issue,to,1
2152311564,64752881,South America Issue,to,1
