Screen Name,value,group
PantheaLee,13,Aid Transparency
democracy,9,Aid Transparency
WatchfulFoxx,8,Aid Transparency
ddie,6,Aid Transparency
MukelaniSD,5,Aid Transparency
OpenParl,5,Aid Transparency
Integrilicious,4,Aid Transparency
Morchickit,4,Aid Transparency
JuanOrlandoH,4,Aid Transparency
ivyong_ph,4,Aid Transparency
basushreya10,3,Aid Transparency
andrew_c_clarke,3,Aid Transparency
anpe,3,Aid Transparency
OKFirl,3,Aid Transparency
opencontracting,3,Aid Transparency
OpenGovHub,3,Aid Transparency
FeedbackLabs,2,Aid Transparency
rightsduff,2,Aid Transparency
jedmiller,2,Aid Transparency
theReboot,2,Aid Transparency
josephpowell,2,Aid Transparency
FelipeEstefan,2,Aid Transparency
alanhudson1,2,Aid Transparency
JoshuaCPowell,2,Aid Transparency
GlobalIntegrity,2,Aid Transparency
jkeserue,2,Aid Transparency
TheGovLab,2,Aid Transparency
agm3dc,1,Aid Transparency
martintisne,1,Aid Transparency
GregBrownm,1,Aid Transparency
georg_neu,1,Aid Transparency
bethnoveck,1,Aid Transparency
RaphaelShepard,1,Aid Transparency
MPTransparency,1,Aid Transparency
TonuBasu,1,Aid Transparency
whereismegan,1,Aid Transparency
ClaireCSchouten,1,Aid Transparency
opengovpart,1,Aid Transparency
j_florezh,1,Aid Transparency
laurambacon,1,Aid Transparency
opendatacharter,1,Aid Transparency
FiscalTrans,1,Aid Transparency
odugUK,1,Aid Transparency
timdavies,1,Aid Transparency
Daydreamer2105,1,Aid Transparency
OGP_IRM,1,Aid Transparency
GavinHayman_GW,1,Aid Transparency
PaulinaBustosA,2,Central America Issue
liliasaul,1,Central America Issue
aniacalderon,1,Central America Issue
jm_casanueva,1,Central America Issue
JEPardinas,1,Central America Issue
IntegridadMx,1,Central America Issue
pablocollada,1,Central America Issue
ruizdeteresa,1,Central America Issue
Mathilde_Bras,14,France Issue
PierreLouisR,13,France Issue
PaulaForteza,12,France Issue
CodeForFR,11,France Issue
ogptoolbox,8,France Issue
VirgileDeville,7,France Issue
DemocracyOS_FR,6,France Issue
Mau_MejiaG,5,France Issue
laurelucchesi,5,France Issue
repcitoyenne,4,France Issue
LancelotPecquet,4,France Issue
Make_org,4,France Issue
Opendatasoft,3,France Issue
schignard,2,France Issue
_cmfg,2,France Issue
ValentinChaput,2,France Issue
axellelemaire,1,France Issue
mlebranchu,1,France Issue
aimeaile,1,France Issue
_DITP,1,France Issue
boris_tweets,1,France Issue
PaulineVeron,1,France Issue
AlexZapolsky,1,France Issue
AmelieBanzet,1,France Issue
CapCollectif,1,France Issue
francediplo,1,France Issue
OpenSourcePol,1,France Issue
HenriVerdier,1,France Issue
_DINUM,1,France Issue
pzwsk,1,France Issue
okfnFr,1,France Issue
Fscrollini,4,South America Issue
DonRudi,3,South America Issue
opendatacon,3,South America Issue
alvarojherrero,3,South America Issue
od4_d,3,South America Issue
SilvanavF,2,South America Issue
ABRELATAM,1,South America Issue
OKFNAR,1,South America Issue
Dan_Abadie,1,South America Issue
anita_chae,1,South America Issue
emi202,1,South America Issue
Natalicasanova,1,South America Issue
redmatriz,1,South America Issue
israragon,1,South America Issue
accesaorg,1,South America Issue
DesarrollaLatAm,1,South America Issue
CeciliaGuemes,1,South America Issue
freedomhouse,40,US Aid
hrw,11,US Aid
IRIglobal,11,US Aid
ryanaflynn,7,US Aid
KimberShearer,6,US Aid
SamanthaJPower,6,US Aid
NickKristof,5,US Aid
SlaughterAM,5,US Aid
NDI,4,US Aid
danbbaer,4,US Aid
TheWJP,2,US Aid
DennisRVega,2,US Aid
Maina_Kiai,2,US Aid
Data4SDGs,2,US Aid
CGDev,1,US Aid
GlobalDevLab,1,US Aid
NDIWomen,1,US Aid
ashleighewhelan,1,US Aid
ForeignAffairs,1,US Aid
AlterIgoe,1,US Aid
USAID_CPS,1,US Aid
OpenDataWatch,1,US Aid
TomOrrell86,1,US Aid
USUN,1,US Aid
USAIDDRG,1,US Aid
ForeignAsst_gov,1,US Aid
AidData,1,US Aid
counterpartint,1,US Aid
AllisonMerchant,1,US Aid
ChinaOpenMic,12,World Bank
DiegoCimino,3,World Bank
ADB_HQ,3,World Bank
CarolineKende,2,World Bank
n_rosellini,2,World Bank
eribears,1,World Bank
WorldBankAfrica,1,World Bank
gnoto62,1,World Bank
WB_AsiaPacific,1,World Bank
HelenClarkNZ,1,World Bank
APRC_CF,1,World Bank
WRIRossCities,1,World Bank
OSFJustice,1,World Bank
UNDPasiapac,1,World Bank
WRIGovernance,1,World Bank
loucharbon,1,World Bank
ADBHealth,1,World Bank
UNHumanRights,1,World Bank
TutuFellows,1,World Bank
mchepchumba,1,World Bank
UNDP_Pakistan,1,World Bank
