from,to,weight,color,arrow,tweets,title,hub,width
197095948,268402701,2.0,blue,,,<p><br># of Mentions: 2</p>,1.0,1.189207115002721
197095948,22039274,4.0,blue,,,<p><br># of Mentions: 4</p>,1.0,1.4142135623730951
197095948,458271246,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,84415692,3.0,blue,,,<p><br># of Mentions: 3</p>,1.0,1.3160740129524924
197095948,193139845,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,343890284,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,1195370245470539776,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,142524254,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,18804414,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,157981564,3.0,blue,,,<p><br># of Mentions: 3</p>,1.0,1.3160740129524924
197095948,20433430,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
197095948,18510558,6.0,blue,,,<p><br># of Mentions: 6</p>,1.0,1.5650845800732869
197095948,1101527644116582405,5.0,blue,,,<p><br># of Mentions: 5</p>,1.0,1.4953487812212205
197095948,193095342,508.0,blue,,,<p><br># of Mentions: 508</p>,1.0,4.747510435919998
197095948,309670970,8.0,blue,,,<p><br># of Mentions: 8</p>,1.0,1.681792830507429
197095948,574865787,16.0,blue,,,<p><br># of Mentions: 16</p>,1.0,2.0
197095948,321575853,5.0,blue,,,<p><br># of Mentions: 5</p>,1.0,1.4953487812212205
197095948,1207409973455720450,4.0,blue,,,<p><br># of Mentions: 4</p>,1.0,1.4142135623730951
197095948,25390350,2.0,blue,,,<p><br># of Mentions: 2</p>,1.0,1.189207115002721
197095948,329666643,1.0,blue,,,<p><br># of Mentions: 1</p>,1.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,1.0,1.7320508075688772
183269426,70993934,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,458271246,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,20596281,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,932594367847682048,9.0,blue,,,<p><br># of Mentions: 9</p>,2.0,1.7320508075688772
183269426,3308166147,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,157981564,3.0,blue,,,<p><br># of Mentions: 3</p>,2.0,1.3160740129524924
183269426,18510558,4.0,blue,,,<p><br># of Mentions: 4</p>,2.0,1.4142135623730951
183269426,193095342,449.0,blue,,,<p><br># of Mentions: 449</p>,2.0,4.60321845021688
183269426,27860681,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,309670970,5.0,blue,,,<p><br># of Mentions: 5</p>,2.0,1.4953487812212205
183269426,1221552934917410818,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,321575853,1.0,blue,,,<p><br># of Mentions: 1</p>,2.0,1.0
183269426,25390350,7.0,blue,,,<p><br># of Mentions: 7</p>,2.0,1.6265765616977856
183269426,329666643,2.0,blue,,,<p><br># of Mentions: 2</p>,2.0,1.189207115002721
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,2.0,1.7320508075688772
309670970,2353501622,28.0,blue,,,<p><br># of Mentions: 28</p>,3.0,2.3003266337912063
309670970,197095948,8.0,blue,,,<p><br># of Mentions: 8</p>,3.0,1.681792830507429
309670970,183269426,5.0,blue,,,<p><br># of Mentions: 5</p>,3.0,1.4953487812212205
309670970,242448965,5.0,blue,,,<p><br># of Mentions: 5</p>,3.0,1.4953487812212205
309670970,492590266,6.0,blue,,,<p><br># of Mentions: 6</p>,3.0,1.5650845800732869
309670970,163922710,1.0,blue,,,<p><br># of Mentions: 1</p>,3.0,1.0
309670970,20596281,1.0,blue,,,<p><br># of Mentions: 1</p>,3.0,1.0
309670970,910629895,6.0,blue,,,<p><br># of Mentions: 6</p>,3.0,1.5650845800732869
309670970,46735154,3.0,blue,,,<p><br># of Mentions: 3</p>,3.0,1.3160740129524924
309670970,193095342,4.0,blue,,,<p><br># of Mentions: 4</p>,3.0,1.4142135623730951
309670970,27860681,1.0,blue,,,<p><br># of Mentions: 1</p>,3.0,1.0
309670970,321575853,4.0,blue,,,<p><br># of Mentions: 4</p>,3.0,1.4142135623730951
309670970,25390350,2.0,blue,,,<p><br># of Mentions: 2</p>,3.0,1.189207115002721
309670970,710795908070375425,5.0,blue,,,<p><br># of Mentions: 5</p>,3.0,1.4953487812212205
910629895,13993182,1.0,red,to,['1321479210079277057'],<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,3.0,1.0
321575853,7403862,9.0,red,to,"['1396802160462082050', '1395349613947891719', '1395346696058642433', '1395336543917780994', '1321059539815403521', '1320746267648135168', '1306966176971591680', '1258406402214805509', '1258381337859371008']",<p><l>Mentioned Tweets: <a href=https://twitter.com/ODIHQ/status/[>Link</a><br># of Mentions: ,3.0,1.7320508075688772
329666643,36299912,1.0,blue,,,<p><br># of Mentions: 1</p>,4.0,1.0
