,id,desc,sn,label,image,shape,font.size,title,font.color,group,value,hub
0,7403862,Digital minister. #FastFairFun #TaiwanCanHelp. */*,audreyt,audreyt,https://pbs.twimg.com/profile_images/1255143161153769472/omPzEibc_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/audreyt>audreyt</a><br>Bio: Digital minister. #FastFairFun #TaiwanCanHelp. */*</p>,red,0,1.0,1.0
1,20433430,"Subsecretario de Gobierno Abierto y País Digital.
Sec. de Innovación Pública
Jefatura de Gabinete de Ministros
- Naides, más que naides, y menos que naides -",cesargazzo,cesargazzo,https://pbs.twimg.com/profile_images/1215764914146508801/TkM-3Iu3_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/cesargazzo>cesargazzo</a><br>Bio: Subsecretario de Gobierno Abierto y País Digital.
Sec. de Innovación Pública
Jefatura de Gabinete de Ministros
- Naides, más que naides, y menos que naides -</p>",blue,,1.0,1.0
2,458271246,Executive Secretary of the UN Economic Commission for Africa @ECA_Official . ‘It always seems impossible until it's done’ -Nelson Mandela,SongweVera,SongweVera,https://pbs.twimg.com/profile_images/925685160540037120/DuAgbrUT_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/SongweVera>SongweVera</a><br>Bio: Executive Secretary of the UN Economic Commission for Africa @ECA_Official . ‘It always seems impossible until it's done’ -Nelson Mandela</p>,blue,,1.0,1.0
3,321575853,"78 national & 76 local governments, plus thousands of civil society groups, working to deliver the promise of democracy beyond the ballot box through #OpenGov.",opengovpart,opengovpart,https://pbs.twimg.com/profile_images/458729616702590976/1FHE7flf_normal.png,star,30.0,"<p><l>Username: <a href=https://twitter.com/opengovpart>opengovpart</a><br>Bio: 78 national & 76 local governments, plus thousands of civil society groups, working to deliver the promise of democracy beyond the ballot box through #OpenGov.</p>",blue,Aid Transparency,1.0,1.0
4,18804414,Presidenta Costa Rica 2010-2014 Catedrática @usponline Fellow @GUPolitics Miembro de @Olympics @CLUBdeMADRID @The_Dialogue @SheWorksCloud @ConcordiaSummit,Laura_Ch,Laura_Ch,https://pbs.twimg.com/profile_images/1119789208632274946/7wRKONEJ_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/Laura_Ch>Laura_Ch</a><br>Bio: Presidenta Costa Rica 2010-2014 Catedrática @usponline Fellow @GUPolitics Miembro de @Olympics @CLUBdeMADRID @The_Dialogue @SheWorksCloud @ConcordiaSummit</p>,blue,,1.0,1.0
5,1207409973455720450,"Quiteño.  Amante del arte y la naturaleza. Profesor e investigador. Cuenta personal, opiniones personales.",DBarraganEc,DBarraganEc,https://pbs.twimg.com/profile_images/1375847936517664774/uWVfT44k_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/DBarraganEc>DBarraganEc</a><br>Bio: Quiteño.  Amante del arte y la naturaleza. Profesor e investigador. Cuenta personal, opiniones personales.</p>",blue,,1.0,1.0
6,157981564,News and information from the European Commission. Social media and data protection policy: https://t.co/3fIsD1hPfD,EU_Commission,EU_Commission,https://pbs.twimg.com/profile_images/1394553652338171907/ay9ogs_n_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/EU_Commission>EU_Commission</a><br>Bio: News and information from the European Commission. Social media and data protection policy: https://t.co/3fIsD1hPfD</p>,blue,,1.0,1.0
7,329666643,"The UN Economic Commission for Africa (ECA) is headquartered in Addis Ababa with offices in Dakar, Kigali, Lusaka, Niamey, Rabat & Yaounde. IDEAS to ACTION.",ECA_OFFICIAL,ECA_OFFICIAL,https://pbs.twimg.com/profile_images/1186198430026207232/4Hhx3EIc_normal.jpg,circle,30.0,"<p><l>Username: <a href=https://twitter.com/ECA_OFFICIAL>ECA_OFFICIAL</a><br>Bio: The UN Economic Commission for Africa (ECA) is headquartered in Addis Ababa with offices in Dakar, Kigali, Lusaka, Niamey, Rabat & Yaounde. IDEAS to ACTION.</p>",blue,,1.0,1.0
8,1195370245470539776,Red académica de #GobiernoAbierto asociada a @redacademica que trabaja con la Mesa de @GobAbiertoCL  involucrada en @opengovpart en Chile,RedChileAGA,RedChileAGA,https://pbs.twimg.com/profile_images/1195371238232862721/iPv4mHGU_normal.png,star,30.0,<p><l>Username: <a href=https://twitter.com/RedChileAGA>RedChileAGA</a><br>Bio: Red académica de #GobiernoAbierto asociada a @redacademica que trabaja con la Mesa de @GobAbiertoCL  involucrada en @opengovpart en Chile</p>,blue,,1.0,1.0
9,142524254,"Somos la Agencia de Gobierno Digital, Sociedad de la Información y el Conocimiento del Uruguay. Presidencia de la República.",agesic,agesic,https://pbs.twimg.com/profile_images/974356744653758465/UGEAIh8t_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/agesic>agesic</a><br>Bio: Somos la Agencia de Gobierno Digital, Sociedad de la Información y el Conocimiento del Uruguay. Presidencia de la República.</p>",blue,,1.0,1.0
10,25390350,"The Organisation for Economic Co-operation & Development promotes better #policies for #BetterLives around the world.
👉 Follow @A_Gurria ✍️ DMs open",OECD,OECD,https://pbs.twimg.com/profile_images/1336674338880319493/S0UMmjq4_normal.jpg,star,30.0,"<p><l>Username: <a href=https://twitter.com/OECD>OECD</a><br>Bio: The Organisation for Economic Co-operation & Development promotes better #policies for #BetterLives around the world.
👉 Follow @A_Gurria ✍️ DMs open</p>",blue,World Bank,1.0,1.0
11,18510558,Desde el BID trabajamos para el desarrollo socioeconómico y sostenible de #AméricaLatina y el #Caribe 🌎,el_BID,el_BID,https://pbs.twimg.com/profile_images/1226898562010767360/PBYe9jgY_normal.png,circle,30.0,<p><l>Username: <a href=https://twitter.com/el_BID>el_BID</a><br>Bio: Desde el BID trabajamos para el desarrollo socioeconómico y sostenible de #AméricaLatina y el #Caribe 🌎</p>,blue,,1.0,1.0
12,343890284,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) - EINEWELT Unsere Verantwortung.,BMZ_Bund,BMZ_Bund,https://pbs.twimg.com/profile_images/884754616029777920/YrtUPQ7g_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/BMZ_Bund>BMZ_Bund</a><br>Bio: Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung (BMZ) - EINEWELT Unsere Verantwortung.</p>,blue,,1.0,1.0
13,309670970,Institución que promueve la diplomacia parlamentaria en el sistema interamericano/Institution that promotes parliamentary diplomacy in the inter-American system,ParlAmericas,ParlAmericas,https://pbs.twimg.com/profile_images/809134364466577408/_DNbDFFJ_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/ParlAmericas>ParlAmericas</a><br>Bio: Institución que promueve la diplomacia parlamentaria en el sistema interamericano/Institution that promotes parliamentary diplomacy in the inter-American system</p>,blue,,1.0,1.0
14,1101527644116582405,"Organización Latinoamericana y del Caribe de Entidades Fiscalizadoras Superiores - OLACEFS.
Organismo internacional, autónomo, independiente y apolítico.",OLACEFS_oficial,OLACEFS_oficial,https://pbs.twimg.com/profile_images/1103683184842194944/xZ4KQ10X_normal.png,circle,30.0,"<p><l>Username: <a href=https://twitter.com/OLACEFS_oficial>OLACEFS_oficial</a><br>Bio: Organización Latinoamericana y del Caribe de Entidades Fiscalizadoras Superiores - OLACEFS.
Organismo internacional, autónomo, independiente y apolítico.</p>",blue,,1.0,1.0
15,574865787,Cuenta oficial del Programa de las Naciones Unidas para el Desarrollo (@pnud) en Chile. Representante Residente: Claudia Mojica.,PNUDChile,PNUDChile,https://pbs.twimg.com/profile_images/1379781086281138180/95zkqlfl_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/PNUDChile>PNUDChile</a><br>Bio: Cuenta oficial del Programa de las Naciones Unidas para el Desarrollo (@pnud) en Chile. Representante Residente: Claudia Mojica.</p>,blue,,1.0,1.0
16,268402701,Asociación Civil por la Igualdad y la Justicia || Trabajamos para defender los derechos y fortalecer la democracia.,ACIJargentina,ACIJargentina,https://pbs.twimg.com/profile_images/1289245590895960064/1vW3DOHq_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/ACIJargentina>ACIJargentina</a><br>Bio: Asociación Civil por la Igualdad y la Justicia || Trabajamos para defender los derechos y fortalecer la democracia.</p>,blue,South America Issue,1.0,1.0
17,84415692,Cuenta oficial de la Universidad Hemisferios,uhemisferios,uhemisferios,https://pbs.twimg.com/profile_images/1374551905892962307/PqpbmYLi_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/uhemisferios>uhemisferios</a><br>Bio: Cuenta oficial de la Universidad Hemisferios</p>,blue,,1.0,1.0
18,22039274,"Wir arbeiten weltweit für eine lebenswerte Zukunft | We work to shape a future worth living around the world

Imprint & Netiquette: https://t.co/uvuIzbkQsj",giz_gmbh,giz_gmbh,https://pbs.twimg.com/profile_images/460711829543469056/as1qQajh_normal.jpeg,circle,30.0,"<p><l>Username: <a href=https://twitter.com/giz_gmbh>giz_gmbh</a><br>Bio: Wir arbeiten weltweit für eine lebenswerte Zukunft | We work to shape a future worth living around the world

Imprint & Netiquette: https://t.co/uvuIzbkQsj</p>",blue,,1.0,1.0
19,193139845,Cuenta oficial del Programa de las Naciones Unidas para el Desarrollo en República Dominicana.,PNUDRD,PNUDRD,https://pbs.twimg.com/profile_images/1282771852348346368/hq7q1GAy_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/PNUDRD>PNUDRD</a><br>Bio: Cuenta oficial del Programa de las Naciones Unidas para el Desarrollo en República Dominicana.</p>,blue,,1.0,1.0
20,193095342,Comprometida con la igualdad. Actualmente Secretaria Ejecutiva de la Comisión Económica para América Latina y el Caribe (CEPAL). Cuenta personal,aliciabarcena,aliciabarcena,https://pbs.twimg.com/profile_images/730148913731256320/IXbvcPKr_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/aliciabarcena>aliciabarcena</a><br>Bio: Comprometida con la igualdad. Actualmente Secretaria Ejecutiva de la Comisión Económica para América Latina y el Caribe (CEPAL). Cuenta personal</p>,blue,Central America Issue,1.0,1.0
21,197095948,Cuenta oficial de la Comisión Económica para América Latina y el Caribe.  Sigue @eclac_un en inglés. #igualdadALC #Horizontes2030,cepal_onu,cepal_onu,https://pbs.twimg.com/profile_images/1377266900393152514/PKEcPQcH_normal.jpg,circle,30.0,<p><l>Username: <a href=https://twitter.com/cepal_onu>cepal_onu</a><br>Bio: Cuenta oficial de la Comisión Económica para América Latina y el Caribe.  Sigue @eclac_un en inglés. #igualdadALC #Horizontes2030</p>,blue,Central America Issue,26.08377596121809,1.0
22,70993934,"The @UNDP @IPC_IG promotes dialogue & learning among developing countries around inclusive growth, in parternship w/ the Brazilian Government/@ipeaonline.",IPC_IG,IPC_IG,https://pbs.twimg.com/profile_images/1212835175429750789/tbCGJh2f_normal.jpg,circle,30.0,"<p><l>Username: <a href=https://twitter.com/IPC_IG>IPC_IG</a><br>Bio: The @UNDP @IPC_IG promotes dialogue & learning among developing countries around inclusive growth, in parternship w/ the Brazilian Government/@ipeaonline.</p>",blue,,1.0,2.0
23,20596281,Working to end poverty for good. Transforming our world #By2030. Follow our Administrator @ASteiner & visit https://t.co/qSU0Gpllji for more,UNDP,UNDP,https://pbs.twimg.com/profile_images/1277602024092131329/bAUh3tJy_normal.jpg,star,30.0,<p><l>Username: <a href=https://twitter.com/UNDP>UNDP</a><br>Bio: Working to end poverty for good. Transforming our world #By2030. Follow our Administrator @ASteiner & visit https://t.co/qSU0Gpllji for more</p>,blue,World Bank,1.0,2.0
