from,to
5878332,773498743
773498743,121413335
773498743,576362204
773498743,1577196907
773498743,2609247953
773498743,53252787
773498743,2164756843
773498743,796008597268418560
773498743,32442190
773498743,1527639686
773498743,294015135
773498743,154561844
773498743,317144532
270252442,559350860
270252442,286865438
270252442,370992652
270252442,505996580
270252442,156010672
270252442,284724697
559350860,286865438
559350860,768986551317585920
559350860,370992652
559350860,837816316811702272
559350860,284724697
286865438,768986551317585920
286865438,370992652
286865438,505996580
286865438,222972791
286865438,284724697
370992652,768986551317585920
370992652,284724697
156010672,102272704
156010672,2590285856
156010672,284724697
284724697,29753422
284724697,252213991
284724697,121311551
284724697,102272704
284724697,41643146
284724697,1526345940
284724697,277858534
284724697,1332708642
284724697,768986551317585920
284724697,24205556
284724697,3304091398
284724697,15521401
284724697,126841593
284724697,2590285856
284724697,837816316811702272
284724697,3235832253
284724697,222972791
284724697,18009461
284724697,1413563167
19825835,144929619
19825835,171000782
19825835,58836363
19825835,72515134
19825835,17921791
19825835,103065157
19825835,2861345003
19825835,276556216
19825835,81851893
19825835,47085741
144929619,171000782
144929619,72515134
144929619,17921791
144929619,276556216
144929619,180723447
144929619,47085741
171000782,200057646
171000782,19011697
171000782,72515134
171000782,140195803
171000782,193313425
171000782,159045003
171000782,17921791
171000782,1002351
171000782,17685009
171000782,2861345003
171000782,276556216
171000782,19758148
171000782,180723447
171000782,47085741
58836363,72515134
58836363,17921791
58836363,103065157
58836363,4764882552
72515134,65322179
72515134,140195803
72515134,17921791
72515134,103065157
72515134,276556216
72515134,27692596
72515134,180723447
72515134,47085741
72515134,25734012
17921791,19011697
17921791,140195803
17921791,276556216
17921791,19758148
17921791,180723447
17921791,47085741
17921791,25097735
103065157,1633543440
103065157,122994639
103065157,932446861
103065157,347120711
103065157,81851893
103065157,4764882552
2861345003,193313425
2861345003,159045003
2861345003,47085741
276556216,19758148
276556216,180723447
276556216,47085741
47085741,65322179
47085741,19011697
47085741,140195803
47085741,1002351
47085741,27692596
47085741,19758148
47085741,180723447
50489349,2495795942
50489349,91292166
50489349,295032345
50489349,377946810
50489349,47817339
2495795942,91292166
2495795942,295032345
2495795942,47817339
91292166,14159148
91292166,2923724679
91292166,115099953
91292166,148517828
91292166,22972898
91292166,295032345
91292166,20596281
91292166,357588709
91292166,20459011
91292166,204698478
91292166,1242529626
91292166,69231187
91292166,377946810
91292166,47817339
91292166,562097401
295032345,2923724679
295032345,20596281
295032345,204698478
295032345,1242529626
295032345,377946810
295032345,47817339
295032345,562097401
377946810,271505240
377946810,14159148
377946810,2923724679
377946810,115099953
377946810,148517828
377946810,191849753
377946810,20596281
377946810,292403049
377946810,204698478
377946810,1242529626
377946810,3066095291
377946810,47817339
377946810,562097401
47817339,2923724679
47817339,22972898
47817339,191849753
47817339,68911475
47817339,20596281
47817339,204698478
47817339,1242529626
47817339,3066095291
47817339,112086260
47817339,562097401
65322179,157981564
65322179,196994616
157981564,205315827
157981564,3036495555
157981564,376819013
157981564,309032583
157981564,123109597
157981564,196994616
157981564,206717989
196994616,3036495555
196994616,376819013
196994616,309032583
196994616,206717989
2734741456,268402701
2734741456,2353501622
2734741456,41643146
2734741456,23629638
2734741456,3058136093
2734741456,19722463
2734741456,33324953
2734741456,201774646
268402701,2353501622
268402701,41643146
268402701,188553022
268402701,23629638
268402701,275130204
268402701,3058136093
268402701,19722463
268402701,7773092
268402701,25537857
268402701,550418276
268402701,437855517
268402701,201774646
2353501622,23629638
2353501622,3058136093
2353501622,19722463
2353501622,201774646
41643146,29753422
41643146,198900558
41643146,35569456
41643146,1526345940
41643146,277858534
41643146,23629638
41643146,3304091398
41643146,15521401
41643146,7773092
41643146,171720258
41643146,163964238
41643146,126841593
41643146,550418276
41643146,437855517
41643146,18503318
41643146,150474475
41643146,196438937
41643146,249220120
41643146,58209067
41643146,73629907
41643146,18009461
41643146,1413563167
41643146,201774646
23629638,277858534
23629638,188553022
23629638,3058136093
23629638,19722463
23629638,197564278
23629638,7773092
23629638,33324953
23629638,437855517
23629638,201774646
3058136093,95047729
3058136093,277858534
3058136093,188553022
3058136093,197564278
3058136093,7773092
3058136093,163964238
3058136093,33324953
3058136093,437855517
3058136093,18009461
3058136093,715654996512129025
19722463,135634413
19722463,550418276
19722463,18503318
19722463,416721882
19722463,58209067
19722463,201774646
33324953,29622459
33324953,58209067
33324953,715654996512129025
201774646,25537857
201774646,550418276
201774646,416721882
201774646,58209067
162499044,972656083
972656083,36724337
972656083,53252787
972656083,1339795584
972656083,156700189
972656083,250576428
972656083,563942720
972656083,294015135
972656083,36106648
928566636,2488774495
928566636,32442190
928566636,20407422
928566636,156700189
928566636,2355519100
2488774495,576362204
2488774495,36724337
2488774495,249115261
2488774495,2795941059
2488774495,2548686548
2488774495,1903931239
2488774495,53252787
2488774495,1242529626
2488774495,3251759104
2488774495,3638422932
2488774495,302253793
2488774495,203332110
2488774495,294015135
2488774495,56696814
2488774495,863603622
32442190,121413335
32442190,757681002
32442190,36724337
32442190,282827560
32442190,512509477
32442190,20379080
32442190,988518714
32442190,15629195
32442190,2609247953
32442190,725815213
32442190,53252787
32442190,796008597268418560
32442190,105079368
32442190,156700189
32442190,1527639686
32442190,3251759104
32442190,563942720
32442190,18741724
32442190,294015135
32442190,36106648
32442190,154561844
32442190,2415900122
32442190,502251829
32442190,258842582
156700189,160569652
156700189,121413335
156700189,2152863685
156700189,757681002
156700189,36724337
156700189,135230766
156700189,1577196907
156700189,743768472
156700189,5556142
156700189,1010377351
156700189,2609247953
156700189,429383854
156700189,53252787
156700189,1339795584
156700189,105079368
156700189,126330386
156700189,563942720
156700189,294015135
156700189,56696814
156700189,502251829
156700189,199002566
2355519100,2609247953
2355519100,1339795584
2355519100,2415900122
29753422,198900558
29753422,121311551
29753422,35569456
29753422,1526345940
29753422,198684253
29753422,277858534
29753422,1332708642
29753422,564183621
29753422,3304091398
29753422,15521401
29753422,7773092
29753422,171720258
29753422,437855517
29753422,3251759104
29753422,150474475
29753422,563942720
29753422,3235832253
29753422,321575853
29753422,18741724
29753422,196438937
29753422,216335805
29753422,249220120
29753422,73629907
29753422,18009461
29753422,1413563167
198900558,1526345940
198900558,3600750743
198900558,198684253
198900558,277858534
198900558,15521401
198900558,171720258
198900558,550418276
198900558,437855517
198900558,991724656821456896
198900558,249220120
198900558,18009461
121311551,3251759104
121311551,18009461
35569456,15521401
35569456,249220120
35569456,73629907
1526345940,1077176953
1526345940,3600750743
1526345940,198684253
1526345940,277858534
1526345940,316583387
1526345940,1332708642
1526345940,8083992
1526345940,564183621
1526345940,2844473201
1526345940,3611717843
1526345940,3304091398
1526345940,15521401
1526345940,7773092
1526345940,171720258
1526345940,437855517
1526345940,150474475
1526345940,3235832253
1526345940,707401649027948544
1526345940,991724656821456896
1526345940,217929137
1526345940,196438937
1526345940,3213781318
1526345940,249220120
1526345940,73629907
1526345940,18009461
1526345940,1413563167
198684253,4894850391
198684253,277858534
198684253,8083992
198684253,15521401
198684253,171720258
198684253,550418276
198684253,199367862
198684253,29622459
198684253,416721882
198684253,707401649027948544
198684253,991724656821456896
198684253,249220120
198684253,715654996512129025
198684253,702211327721390081
277858534,3653063130
277858534,3600750743
277858534,179697435
277858534,564183621
277858534,24205556
277858534,3611717843
277858534,15521401
277858534,197564278
277858534,7773092
277858534,163964238
277858534,437855517
277858534,150474475
277858534,3235832253
277858534,991724656821456896
277858534,113117134
277858534,3213781318
277858534,73629907
277858534,18009461
277858534,3165851640
277858534,2895002170
1332708642,240307539
1332708642,252213991
1332708642,179697435
1332708642,564183621
1332708642,2844473201
