sn,follower_num,sn_url,gp
scheeinfo,8.0,https://twitter.com/scheeinfo,0
oktaiwanonline,6.0,https://twitter.com/oktaiwanonline,0
clkao,3.0,https://twitter.com/clkao,0
Stiivi,2.0,https://twitter.com/Stiivi,0
trc4identica,2.0,https://twitter.com/trc4identica,0
andreasinica,2.0,https://twitter.com/andreasinica,0
dongpo,2.0,https://twitter.com/dongpo,0
dspim,2.0,https://twitter.com/dspim,0
nnimar,1.0,https://twitter.com/nnimar,0
g0vtw,1.0,https://twitter.com/g0vtw,0
oktaiwanonline,25.0,https://twitter.com/oktaiwanonline,3
scheeinfo,21.0,https://twitter.com/scheeinfo,3
audreyt,20.0,https://twitter.com/audreyt,3
clkao,10.0,https://twitter.com/clkao,3
eikologyy,7.0,https://twitter.com/eikologyy,3
go_vegetables,7.0,https://twitter.com/go_vegetables,3
shuyanglin,5.0,https://twitter.com/shuyanglin,3
TTCATz,4.0,https://twitter.com/TTCATz,3
g0vtw,3.0,https://twitter.com/g0vtw,3
trc4identica,3.0,https://twitter.com/trc4identica,3
JeromeTaylor,13.0,https://twitter.com/JeromeTaylor,4
audreyt,8.0,https://twitter.com/audreyt,4
tculpan,4.0,https://twitter.com/tculpan,4
Scholars_Stage,3.0,https://twitter.com/Scholars_Stage,4
heldavidson,3.0,https://twitter.com/heldavidson,4
paulmozur,3.0,https://twitter.com/paulmozur,4
rwang0,3.0,https://twitter.com/rwang0,4
kassy,2.0,https://twitter.com/kassy,4
atpittam,2.0,https://twitter.com/atpittam,4
MOFA_Taiwan,2.0,https://twitter.com/MOFA_Taiwan,4
audreyt,30.0,https://twitter.com/audreyt,1
FangJuiChang,6.0,https://twitter.com/FangJuiChang,1
rwang0,5.0,https://twitter.com/rwang0,1
scheeinfo,4.0,https://twitter.com/scheeinfo,1
g0vtw,3.0,https://twitter.com/g0vtw,1
clkao,3.0,https://twitter.com/clkao,1
ragtag,3.0,https://twitter.com/ragtag,1
oktaiwanonline,2.0,https://twitter.com/oktaiwanonline,1
Mark45dominic,2.0,https://twitter.com/Mark45dominic,1
fiobourgeois,2.0,https://twitter.com/fiobourgeois,1
audreyt,14.0,https://twitter.com/audreyt,2
paulmozur,10.0,https://twitter.com/paulmozur,2
CatherineShu,2.0,https://twitter.com/CatherineShu,2
rwang0,2.0,https://twitter.com/rwang0,2
TrustableAI,1.0,https://twitter.com/TrustableAI,2
tculpan,1.0,https://twitter.com/tculpan,2
bessiec,1.0,https://twitter.com/bessiec,2
itstheelliekoep,1.0,https://twitter.com/itstheelliekoep,2
eikologyy,1.0,https://twitter.com/eikologyy,2
nickm4rro,1.0,https://twitter.com/nickm4rro,2
